Nom Ville,MAJ,Code Postal,Code INSEE,Latitude,Longitude,Eloignement,Departement
Saint-Pierre-du-Mont,SAINT PIERRE DU MONT,40280,40281,43.883333,-0.516667,0.91,5
Saint-Pierre-du-Mont,SAINT PIERRE DU MONT,58210,58263,47.4,3.433333,1.37,13
Saint-Pierre-du-Palais,SAINT PIERRE DU PALAIS,17270,17386,45.166667,-0.15,2.49,80
Saint-Pierre-du-Perray,SAINT PIERRE DU PERRAY,91280,91573,48.616667,2.5,2.01,37
Saint-Pierre-du-Regard,SAINT PIERRE DU REGARD,61790,61447,48.85,-0.55,1.75,68
Saint-Pierre-du-Val,SAINT PIERRE DU VAL,27210,27597,49.4,0.366667,2.08,69
Saint-Pierre-du-Vauvray,SAINT PIERRE DU VAUVRAY,27430,27598,49.233333,1.216667,1.44,69
Saint-Pierre-Église,SAINT PIERRE EGLISE,50330,50539,49.666667,-1.4,1.92,67
Saint-Pierre-en-Port,SAINT PIERRE EN PORT,76540,76637,49.8,0.483333,1.46,70
Saint-Pierre-en-Val,SAINT PIERRE EN VAL,76260,76638,50.016667,1.45,2.57,70
Saint-Pierre-en-Vaux,SAINT PIERRE EN VAUX,21230,21566,47.05,4.533333,1.59,12
